timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650007409438,352,Delete an item,200,OK,Thread Group 1-11,text,true,,230,227,5,5,https://api.demoblaze.com/deleteitem,351,0,0
1650007409650,314,Add To Cart,400,Bad Request,Thread Group 1-12,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,314,0,0
1650007409578,577,Signup into Demoblaze,200,OK,Thread Group 1-14,text,false,Test failed: text expected not to contain /errorMessage/,281,228,5,5,https://api.demoblaze.com/signup,577,0,208
1650007407575,577,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-14,,false,,281,228,5,5,null,577,2007,208
1650007409767,428,Login Into demoblaze,200,OK,Thread Group 1-13,text,true,,272,227,5,5,https://api.demoblaze.com/login,428,0,0
1650007408764,428,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-13,,true,,272,227,5,5,null,428,1004,0
1650007410196,1,Debug Sampler,200,OK,Thread Group 1-13,text,true,,610,0,5,5,null,0,0,0
1650007409790,445,Get Items in Cart After deletion,200,OK,Thread Group 1-11,text,true,,404,225,5,5,https://api.demoblaze.com/viewcart,445,0,0
1650007409965,395,Get Items in Cart,400,Bad Request,Thread Group 1-12,text,false,,409,206,5,5,https://api.demoblaze.com/viewcart,395,0,0
1650007410199,468,Add To Cart,200,OK,Thread Group 1-13,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,468,0,0
1650007410361,350,Delete an item,200,OK,Thread Group 1-12,text,true,,267,227,5,5,https://api.demoblaze.com/deleteitem,350,0,0
1650007410235,636,Delete Cart,200,OK,Thread Group 1-11,text,true,,230,202,5,5,https://api.demoblaze.com/deletecart,636,0,0
1650007407698,3168,Purchase Items - Transaction Controller,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-11,,true,,2008,1731,5,5,null,3167,5,0
1650007410667,510,Add To Cart,200,OK,Thread Group 1-13,text,true,,221,284,4,4,https://api.demoblaze.com/addtocart,510,0,0
1650007410712,465,Get Items in Cart After deletion,400,Bad Request,Thread Group 1-12,text,false,,409,206,4,4,https://api.demoblaze.com/viewcart,465,0,0
1650007411178,324,Delete Cart,200,OK,Thread Group 1-12,text,true,,230,202,4,4,https://api.demoblaze.com/deletecart,324,0,0
1650007408899,2595,Purchase Items - Transaction Controller,,"Number of samples in transaction : 8, number of failing samples : 5",Thread Group 1-12,,false,,2542,1633,4,4,null,2595,8,0
1650007410911,777,Signup into Demoblaze,200,OK,Thread Group 1-15,text,false,Test failed: text expected not to contain /errorMessage/,281,228,3,3,https://api.demoblaze.com/signup,777,0,271
1650007411178,511,Add To Cart,200,OK,Thread Group 1-13,text,true,,221,284,3,3,https://api.demoblaze.com/addtocart,511,0,0
1650007408904,777,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-15,,false,,281,228,3,3,null,777,2008,271
1650007411175,514,Login Into demoblaze,200,OK,Thread Group 1-14,text,true,,272,227,3,3,https://api.demoblaze.com/login,514,0,0
1650007410159,514,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,272,227,3,3,null,514,1017,0
1650007411690,0,Debug Sampler,200,OK,Thread Group 1-14,text,true,,575,0,3,3,null,0,0,0
1650007411690,411,Get Items in Cart,200,OK,Thread Group 1-13,text,true,,404,225,3,3,https://api.demoblaze.com/viewcart,411,0,0
